Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,
2024-02-06 14:54:22.279709 +0000 UTC,10.126.112.48,37120,18.172.89.104,443,6,18,2283,16,10067,52,126,569,129,52,629,5186,1520,216000,26959769,196983000,54084244,1000,25147636,183150000,55092534,193418758000,15457000,81336600,196983000,75627687,22989636000,48253018750,58245631000,-9223372036854775808,3,456,3,2013,10,8,0,0,944,840,0,0
2024-02-06 14:59:01.735676 +0000 UTC,10.126.112.48,41286,142.250.187.202,443,6,12,2678,13,2126,52,223,1297,380,52,163,820,217,13000,7447272,31154000,10729736,0,5400750,29695000,8965828,81920000,81920000,81920000,81920000,0,0,0,0,0,12,2678,13,2126,6,7,0,0,632,684,161587857000,32
2024-02-06 14:55:40.052587 +0000 UTC,10.126.112.48,36822,104.22.61.206,443,6,32,4077,35,13559,52,127,718,126,52,387,5298,927,126000,75931904,999807000,216853431,0,55129333,1001275000,204454504,216803823000,18088000,150807636,1062693000,314119113,1079117000,21514493900,53337540000,-9223372036854775808,2,370,3,1232,22,18,0,0,1672,1828,0,0
2024-02-06 14:59:17.104896 +0000 UTC,10.126.112.48,60286,142.250.187.202,443,6,12,2677,13,2126,52,223,1297,380,52,163,820,217,2000,9335272,36736000,13760292,1000,6224500,35213000,10634559,102688000,102688000,102688000,102688000,0,0,0,0,0,12,2677,13,2126,6,7,0,0,632,684,15369220000,0
2024-02-06 14:59:20.580173 +0000 UTC,10.126.112.48,53520,52.142.124.215,443,6,542,41320,1222,3362620,52,76,1346,86,52,2751,5844,669,2000,6897987,159762000,15479084,1000,3054463,192080000,11181578,3759713000,3759713000,3759713000,3759713000,0,0,0,0,0,542,41320,1222,3362620,82,1129,0,0,28372,63552,0,0
2024-02-06 14:59:25.233002 +0000 UTC,10.126.112.48,58294,142.250.187.202,443,6,11,2624,14,2178,52,238,1297,395,52,155,820,211,21000,8755900,25664000,10487801,5005000,5255846,23939000,7354304,87559000,87559000,87559000,87559000,0,0,0,0,0,11,2624,14,2178,6,7,0,0,580,736,8128106000,32
2024-02-06 14:59:25.193729 +0000 UTC,10.126.112.48,44362,52.142.125.222,443,6,11,1540,11,5313,52,140,721,201,52,483,2948,887,9000,15700900,40349000,16307447,9055000,12945100,49374000,16111035,157009000,157009000,157009000,157009000,0,0,0,0,0,11,1540,11,5313,4,5,0,0,580,580,710000,0
2024-02-06 14:59:25.193019 +0000 UTC,10.126.112.48,44354,52.142.125.222,443,6,11,1540,11,5313,52,140,721,201,52,483,2948,887,8000,17157700,40161000,18234969,1000,13724300,58019000,20918866,171577000,171577000,171577000,171577000,0,0,0,0,0,11,1540,11,5313,4,5,0,0,580,580,51000,0
2024-02-06 14:59:25.29224 +0000 UTC,10.126.112.48,58296,142.250.187.202,443,6,11,2626,13,2126,52,238,1297,395,52,163,820,217,9000,9241700,29466000,12551888,0,5516833,27216000,8623519,92417000,92417000,92417000,92417000,0,0,0,0,0,11,2626,13,2126,6,7,0,0,580,684,59238000,0
2024-02-06 14:54:23.788782 +0000 UTC,10.126.112.48,39150,34.120.208.123,443,6,47,53453,58,8565,52,1137,11252,2418,52,147,2852,378,3000,31941000,303623000,71327707,1000,21803294,286468000,60359458,306568264000,21871000,190758571,540490000,212954601,36557129000,50872159000,58712657000,-9223372036854775808,6,7636,8,1223,28,23,0,0,2476,3024,0,0
2024-02-06 14:59:32.826494 +0000 UTC,10.126.112.48,60816,142.250.187.202,443,6,12,2677,13,2126,52,223,1297,380,52,163,820,217,3000,8842181,31162000,12436510,1453000,6124833,29148000,9093637,97264000,97264000,97264000,97264000,0,0,0,0,0,12,2677,13,2126,6,7,0,0,632,684,7534254000,0
2024-02-06 14:59:25.192932 +0000 UTC,10.126.112.48,44340,52.142.125.222,443,6,1647,136067,1996,6254437,52,82,5764,299,52,3133,7292,903,2000,2032885,593852000,15971600,33067000,1604925,594065000,14623120,7822294000,266572000,1124893666,2175244000,968717429,1947161000,2223806500,2500452000,-9223372036854775808,549,45355,665,2084812,56,1888,0,0,85996,103800,0,0
2024-02-06 14:59:42.356668 +0000 UTC,10.126.112.48,44218,142.250.187.202,443,6,12,2677,13,2126,52,223,1297,380,52,163,820,217,5000,7742545,27624000,11176008,1000,5167500,26227000,8188426,85168000,85168000,85168000,85168000,0,0,0,0,0,12,2677,13,2126,6,7,0,0,632,684,9530174000,32
2024-02-06 14:59:44.083603 +0000 UTC,10.126.112.48,44220,142.250.187.202,443,6,12,2678,13,2126,52,223,1297,380,52,163,820,217,5000,7549181,30263000,10849656,1000,5266250,28844000,8798109,83041000,83041000,83041000,83041000,0,0,0,0,0,12,2678,13,2126,6,7,0,0,632,684,1726935000,32
2024-02-06 14:59:32.86152 +0000 UTC,10.126.112.48,47142,52.142.125.222,443,6,820,90734,2095,7206237,52,110,5764,390,52,3439,7292,1052,2000,5906674,800629000,40119106,9000,2254037,800726000,25865451,11595037000,597561000,1618519666,2162768000,-9223372036854775808,1148605000,3369739000,5590873000,-9223372036854775808,273,30244,698,2402079,49,1966,0,0,42900,108948,7666183000,0
2024-02-06 14:59:24.280744 +0000 UTC,10.126.112.48,58600,52.142.124.215,443,6,287,23509,392,1505530,52,81,704,68,52,3840,17428,3118,2000,43649778,922064000,114064314,1000,31126251,993728000,101456675,42740008000,3773000,1746018857,6808431000,-9223372036854775808,1070692000,5086312666,20048839000,-9223372036854775808,41,3358,56,215075,70,314,0,0,15028,20392,0,0
2024-02-06 15:00:38.690444 +0000 UTC,10.126.112.48,36026,35.186.224.39,443,6,9,1799,10,4273,52,199,823,270,52,427,2852,871,21000,13164250,29651000,11738297,1000,11223333,26128000,10868528,123419000,123419000,123419000,123419000,0,0,0,0,0,9,1799,10,4273,4,4,0,0,476,528,0,0
2024-02-06 15:00:20.869637 +0000 UTC,10.126.112.48,34384,18.172.89.124,443,6,22,2327,21,18347,52,105,715,163,52,873,7192,1930,43000,7486888,16609000,7438374,1000,4508000,18875000,7081877,115095050000,13554000,19834538,50730000,9537469,4588289000,9569766750,10154454000,-9223372036854775808,1,179,1,1411,4,6,0,0,1152,1100,0,0
2024-02-06 15:00:20.932792 +0000 UTC,10.126.112.48,35938,212.58.235.2,443,6,20,2436,21,7813,52,121,701,152,52,372,4148,890,16000,11581750,33665000,12206929,22845000,10653058,51287000,16806403,120243927000,22846000,64804500,178067000,75656603,1929946000,39994903000,59266075000,-9223372036854775808,5,609,5,1953,9,15,0,0,1084,1100,0,0
2024-02-06 15:00:20.854724 +0000 UTC,10.126.112.48,58074,23.223.123.212,443,6,272,23313,265,1049152,52,85,886,90,52,3959,18876,4351,2000,12692520,482023000,57083371,39498000,12141003,509968000,63025226,131145644000,21905000,370906666,1301882000,514455298,1008620000,15975935500,58154814000,-9223372036854775808,30,2590,29,116572,58,235,0,0,14164,13788,470827246000,0
2024-02-06 15:00:02.271346 +0000 UTC,10.126.112.48,41496,216.58.204.78,443,6,18,2561,18,6965,52,142,716,186,52,386,2852,719,13000,15760214,61128000,21231688,0,8635857,33645000,13205066,170897915000,20233000,61870500,144256000,58086267,54034149000,56883477666,58358200000,-9223372036854775808,4,640,4,1741,10,10,0,0,944,944,0,32
2024-02-06 15:03:00.036286 +0000 UTC,10.126.112.48,58452,163.172.221.58,443,6,15,2237,15,6369,52,149,569,147,52,424,2948,764,20000,24137142,130170000,34677431,1000,22093285,130216000,35176486,337920000,337920000,337920000,337920000,0,0,0,0,0,15,2237,15,6369,7,9,0,0,788,788,6932777000,0
2024-02-06 15:00:24.222275 +0000 UTC,10.126.112.48,52278,54.155.59.252,443,6,18,2435,15,9671,52,135,713,166,52,644,5362,1499,10000,18881285,71052000,21114920,1000,9647909,37609000,15322539,171073534000,25910000,66084500,136117000,50846281,54038672000,56936398666,58542041000,-9223372036854775808,4,608,3,2417,9,8,0,0,944,788,0,0
